"ano"	"volume"	"tomo"	"url"
"1977"	"080"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=080_1"
"1977"	"080"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=080_2"
"1977"	"080"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=080_3"
"1977"	"081"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=081_1"
"1977"	"081"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=081_2"
"1977"	"081"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=081_3"
"1977"	"082"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=082_1"
"1977"	"082"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=082_2"
"1977"	"082"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=082_3"
"1978"	"083"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=083_1"
"1978"	"083"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=083_2"
"1978"	"083"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=083_3"
"1978"	"084"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=084_1"
"1978"	"084"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=084_2"
"1978"	"084"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=084_3"
"1978"	"085"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=085_1"
"1978"	"085"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=085_2"
"1978"	"085"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=085_3"
"1978"	"086"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=086_1"
"1978"	"086"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=086_2"
"1978"	"086"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=086_3"
"1979"	"087"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=087_1"
"1979"	"087"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=087_2"
"1979"	"087"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=087_3"
"1979"	"088"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=088_1"
"1979"	"088"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=088_2"
"1979"	"088"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=088_3"
"1979"	"089"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=089_1"
